indicator,nonnull_cells
"Probability of dying among youth ages 20-24 years (per 1,000)",70
"Employment in industry, male (% of male employment) (modeled ILO estimate)",70
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",70
Children (ages 0-14) newly infected with HIV,70
"Employers, male (% of male employment) (modeled ILO estimate)",70
Employment in industry (% of total employment) (modeled ILO estimate),70
"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",70
"GDP, PPP (constant 2021 international $)",70
GDP: linked series (current LCU),70
"Unemployment, male (% of male labor force) (modeled ILO estimate)",70
"Self-employed, male (% of male employment) (modeled ILO estimate)",70
"Self-employed, total (% of total employment) (modeled ILO estimate)",70
"Probability of dying among adolescents ages 15-19 years (per 1,000)",70
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",70
"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",70
Number of deaths ages 15-19 years,70
"Employment in services, female (% of female employment) (modeled ILO estimate)",70
F-gases emissions from Industrial Processes (Mt CO2e),70
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),70
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,70
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",70
Import unit value index (2015 = 100),70
Number of deaths ages 5-9 years,70
"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",70
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",70
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",70
"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",70
Employment in agriculture (% of total employment) (modeled ILO estimate),70
"Unemployment, total (% of total labor force) (modeled ILO estimate)",70
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",70
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",70
Number of deaths ages 10-14 years,70
Children (0-14) living with HIV,70
"GDP per capita, PPP (current international $)",70
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",70
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",70
Young people (ages 15-24) newly infected with HIV,70
Employment in services (% of total employment) (modeled ILO estimate),70
"GDP per capita, PPP (constant 2021 international $)",70
"Inflation, GDP deflator: linked series (annual %)",70
"Probability of dying among adolescents ages 10-14 years (per 1,000)",70
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",70
Export unit value index (2015 = 100),70
"GNI, PPP (current international $)",70
"Prevalence of HIV, female (% ages 15-24)",70
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",68
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",68
GDP per person employed (constant 2021 PPP $),68
Forest area (sq. km),68
Forest area (% of land area),68
Methane (CH4) emissions (total) excluding LULUCF (% change from 1990),68
Import volume index (2015 = 100),68
GDP per unit of energy use (PPP $ per kg of oil equivalent),68
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",68
"Services, value added per worker (constant 2015 US$)",68
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),68
Energy use (kg of oil equivalent per capita),68
Ratio of female to male labor force participation rate (%) (national estimate),68
Electricity production from oil sources (% of total),68
Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990),68
Electric power consumption (kWh per capita),68
Electricity production from coal sources (% of total),68
Electricity production from hydroelectric sources (% of total),68
Electricity production from natural gas sources (% of total),68
